date,start_time,end_time,duration,vehicle,weather,lat,lon,velocity,deceleration
23.10.2022,2022-10-23 14:32:07.800,2022-10-23 14:32:29.300,21.5,7427,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.8, 'humidity': 99.73, 'windspeed': 7.7, 'visibility': 4.9}",48.145743,17.11372,28.1,28.1
20.10.2022,2022-10-20 06:52:40.400,2022-10-20 06:52:45.000,4.6,7528,"{'conditions': 'Clear', 'temp': 6.4, 'precip': 0.0, 'dew': 2.3, 'humidity': 75.25, 'windspeed': 3.8, 'visibility': 39.5}",48.141172,17.116513,28.3,28.3
05.10.2022,2022-10-05 14:20:46.100,2022-10-05 14:21:03.000,16.9,7401,"{'conditions': 'Partially cloudy', 'temp': 17.7, 'precip': 0.0, 'dew': 9.7, 'humidity': 59.19, 'windspeed': 11.1, 'visibility': 45.2}",48.17316,17.142492,49.2,49.2
18.10.2022,2022-10-18 21:11:13.100,2022-10-18 21:11:46.300,33.2,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}",48.166427,17.126855,49.7,49.7
18.10.2022,2022-10-18 21:12:24.200,2022-10-18 21:13:02.500,38.3,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}",48.159327,17.121747,48.2,48.2
18.10.2022,2022-10-18 21:24:16.000,2022-10-18 21:24:24.700,8.7,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}",48.127783,17.116852,35.0,35.0
28.10.2022,2022-10-28 10:37:24.000,2022-10-28 10:37:32.400,8.4,7409,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}",48.149005,17.113338,21.2,21.2
10.10.2022,2022-10-10 18:43:42.200,2022-10-10 18:44:02.000,19.8,7528,"{'conditions': 'Partially cloudy', 'temp': 14.5, 'precip': 0.0, 'dew': 5.8, 'humidity': 55.69, 'windspeed': 7.5, 'visibility': 38.0}",48.154552,17.119143,32.1,32.1
18.10.2022,2022-10-18 22:25:24.600,2022-10-18 22:25:36.300,11.7,7416,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 10.6, 'humidity': 71.98, 'windspeed': 3.6, 'visibility': 33.0}",48.14005,17.098142,44.9,44.9
28.10.2022,2022-10-28 11:07:29.000,2022-10-28 11:07:45.900,16.9,7424,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}",48.17437,17.143708,49.7,49.7
11.10.2022,2022-10-11 18:53:05.600,2022-10-11 18:53:24.000,18.4,7508,"{'conditions': 'Partially cloudy', 'temp': 15.2, 'precip': 0.0, 'dew': 9.7, 'humidity': 69.74, 'windspeed': 10.5, 'visibility': 33.8}",48.145022,17.113145,22.5,22.5
24.10.2022,2022-10-24 11:30:54.300,2022-10-24 11:31:04.100,9.8,7516,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 14.6, 'humidity': 99.36, 'windspeed': 7.0, 'visibility': 1.3}",48.207498,17.15028,45.9,45.9
21.10.2022,2022-10-21 12:03:09.800,2022-10-21 12:03:14.000,4.2,7506,"{'conditions': 'Partially cloudy', 'temp': 9.2, 'precip': 0.0, 'dew': 2.4, 'humidity': 62.56, 'windspeed': 15.1, 'visibility': 54.2}",48.145492,17.110237,22.7,22.7
07.10.2022,2022-10-07 10:51:07.000,2022-10-07 10:51:27.000,20.0,7421,"{'conditions': 'Clear', 'temp': 16.1, 'precip': 0.0, 'dew': 11.9, 'humidity': 76.45, 'windspeed': 11.1, 'visibility': 15.0}",48.175467,17.144735,44.4,44.4
03.10.2022,2022-10-03 09:34:01.100,2022-10-03 09:34:07.000,5.9,7409,"{'conditions': 'Partially cloudy', 'temp': 12.6, 'precip': 0.0, 'dew': 7.6, 'humidity': 71.29, 'windspeed': 14.6, 'visibility': 45.2}",48.149128,17.113413,22.6,22.6
19.10.2022,2022-10-19 17:03:25.100,2022-10-19 17:03:42.000,16.9,7422,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 6.7, 'humidity': 58.59, 'windspeed': 11.7, 'visibility': 38.4}",48.194495,17.03403,47.3,47.3
20.10.2022,2022-10-20 08:14:55.400,2022-10-20 08:15:13.000,17.6,7510,"{'conditions': 'Clear', 'temp': 6.5, 'precip': 0.0, 'dew': 2.3, 'humidity': 74.19, 'windspeed': 3.6, 'visibility': 53.5}",48.157935,17.120552,21.1,21.1
11.10.2022,2022-10-11 10:38:55.700,2022-10-11 10:39:07.300,11.6,7421,"{'conditions': 'Partially cloudy', 'temp': 15.8, 'precip': 0.0, 'dew': 7.7, 'humidity': 58.55, 'windspeed': 3.6, 'visibility': 49.2}",48.146327,17.114332,28.7,28.7
27.10.2022,2022-10-27 15:04:49.900,2022-10-27 15:05:03.000,13.1,7514,"{'conditions': 'Overcast', 'temp': 12.4, 'precip': 0.0, 'dew': 12.3, 'humidity': 99.59, 'windspeed': 3.6, 'visibility': 0.2}",48.154715,17.119228,39.4,39.4
13.10.2022,2022-10-13 15:38:34.000,2022-10-13 15:38:47.300,13.3,7416,"{'conditions': 'Partially cloudy', 'temp': 17.1, 'precip': 0.0, 'dew': 11.4, 'humidity': 68.81, 'windspeed': 3.8, 'visibility': 14.5}",48.164563,17.134358,34.1,34.1
09.10.2022,2022-10-09 14:22:27.500,2022-10-09 14:22:37.200,9.7,7401,"{'conditions': 'Partially cloudy', 'temp': 16.8, 'precip': 0.0, 'dew': 5.8, 'humidity': 47.99, 'windspeed': 10.5, 'visibility': 47.7}",48.148192,17.071185,24.7,24.7
10.10.2022,2022-10-10 15:09:00.500,2022-10-10 15:09:18.700,18.2,7422,"{'conditions': 'Partially cloudy', 'temp': 16.6, 'precip': 0.0, 'dew': 6.9, 'humidity': 52.64, 'windspeed': 8.1, 'visibility': 54.5}",48.187657,17.03677,49.9,49.9
18.10.2022,2022-10-18 16:33:21.900,2022-10-18 16:33:39.600,17.7,7418,"{'conditions': 'Clear', 'temp': 20.4, 'precip': 0.0, 'dew': 9.3, 'humidity': 49.12, 'windspeed': 3.8, 'visibility': 38.4}",48.1399,17.108937,32.0,32.0
18.10.2022,2022-10-18 19:32:13.800,2022-10-18 19:32:32.700,18.9,7418,"{'conditions': 'Partially cloudy', 'temp': 15.9, 'precip': 0.0, 'dew': 9.9, 'humidity': 67.37, 'windspeed': 3.6, 'visibility': 33.0}",48.164322,17.134023,24.1,24.1
27.10.2022,2022-10-27 22:57:28.700,2022-10-27 22:57:38.200,9.5,7518,"{'conditions': 'Partially cloudy', 'temp': 9.9, 'precip': 0.0, 'dew': 9.9, 'humidity': 99.99, 'windspeed': 7.4, 'visibility': 0.0}",48.177928,17.128192,49.7,49.7
19.10.2022,2022-10-19 17:06:03.700,2022-10-19 17:06:19.000,15.3,7518,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 6.7, 'humidity': 58.59, 'windspeed': 11.7, 'visibility': 38.4}",48.158472,17.128347,35.5,35.5
18.10.2022,2022-10-18 10:33:37.700,2022-10-18 10:33:50.000,12.3,7406,"{'conditions': 'Clear', 'temp': 15.2, 'precip': 0.0, 'dew': 9.0, 'humidity': 66.54, 'windspeed': 7.3, 'visibility': 20.3}",48.153067,17.113673,37.0,37.0
09.10.2022,2022-10-09 15:01:40.400,2022-10-09 15:01:52.200,11.8,7525,"{'conditions': 'Partially cloudy', 'temp': 17.1, 'precip': 0.0, 'dew': 5.8, 'humidity': 47.36, 'windspeed': 7.0, 'visibility': 56.9}",48.194098,17.14224,49.8,49.8
01.10.2022,2022-10-01 12:40:31.000,2022-10-01 12:40:41.000,10.0,7525,"{'conditions': 'Overcast', 'temp': 13.8, 'precip': 0.0, 'dew': 11.8, 'humidity': 88.23, 'windspeed': 3.6, 'visibility': 23.8}",48.158438,17.128302,50.0,50.0
16.10.2022,2022-10-16 17:23:09.500,2022-10-16 17:23:28.500,19.0,7506,"{'conditions': 'Partially cloudy', 'temp': 20.2, 'precip': 0.0, 'dew': 12.6, 'humidity': 61.84, 'windspeed': 11.0, 'visibility': 19.2}",48.184312,17.038135,49.5,49.5
18.10.2022,2022-10-18 13:29:06.600,2022-10-18 13:29:30.900,24.3,7412,"{'conditions': 'Clear', 'temp': 18.7, 'precip': 0.0, 'dew': 7.2, 'humidity': 47.13, 'windspeed': 7.2, 'visibility': 34.3}",48.174408,17.143717,42.2,42.2
22.10.2022,2022-10-22 18:25:04.500,2022-10-22 18:25:15.700,11.2,7416,"{'conditions': 'Partially cloudy', 'temp': 10.4, 'precip': 0.0, 'dew': 10.3, 'humidity': 99.56, 'windspeed': 3.8, 'visibility': 14.3}",48.15777,17.127453,20.6,20.6
06.10.2022,2022-10-06 16:30:57.900,2022-10-06 16:31:15.600,17.7,7513,"{'conditions': 'Partially cloudy', 'temp': 21.4, 'precip': 0.0, 'dew': 12.7, 'humidity': 57.64, 'windspeed': 4.1, 'visibility': 47.7}",48.174232,17.143513,49.3,49.3
10.10.2022,2022-10-10 10:19:59.800,2022-10-10 10:20:13.300,13.5,7519,"{'conditions': 'Partially cloudy', 'temp': 9.6, 'precip': 0.0, 'dew': 5.2, 'humidity': 74.11, 'windspeed': 7.6, 'visibility': 68.2}",48.200853,17.148263,44.7,44.7
19.10.2022,2022-10-19 08:52:23.900,2022-10-19 08:52:36.600,12.7,7508,"{'conditions': 'Partially cloudy', 'temp': 12.2, 'precip': 0.0, 'dew': 10.9, 'humidity': 91.29, 'windspeed': 4.5, 'visibility': 30.2}",48.193795,17.141855,40.1,40.1
22.10.2022,2022-10-22 12:40:04.200,2022-10-22 12:40:12.600,8.4,7519,"{'conditions': 'Rain, Overcast', 'temp': 11.1, 'precip': 0.001, 'dew': 9.0, 'humidity': 87.12, 'windspeed': 0.3, 'visibility': 18.9}",48.2028,17.149405,26.3,26.3
11.10.2022,2022-10-11 18:04:50.200,2022-10-11 18:04:57.000,6.8,7518,"{'conditions': 'Partially cloudy', 'temp': 15.9, 'precip': 0.0, 'dew': 9.7, 'humidity': 66.59, 'windspeed': 10.7, 'visibility': 33.8}",48.146353,17.114383,21.1,21.1
17.10.2022,2022-10-17 17:30:39.300,2022-10-17 17:30:56.400,17.1,7514,"{'conditions': 'Partially cloudy', 'temp': 19.1, 'precip': 0.0, 'dew': 9.6, 'humidity': 54.26, 'windspeed': 7.5, 'visibility': 38.4}",48.171133,17.126992,49.9,49.9
11.10.2022,2022-10-11 07:54:50.800,2022-10-11 07:54:57.700,6.9,7402,"{'conditions': 'Rain, Partially cloudy', 'temp': 10.6, 'precip': 0.099, 'dew': 6.5, 'humidity': 75.51, 'windspeed': 3.6, 'visibility': 34.6}",48.153402,17.118808,21.3,21.3
11.10.2022,2022-10-11 13:54:37.000,2022-10-11 13:54:44.400,7.4,7402,"{'conditions': 'Partially cloudy', 'temp': 17.7, 'precip': 0.0, 'dew': 9.8, 'humidity': 59.9, 'windspeed': 3.6, 'visibility': 49.2}",48.153407,17.11881,23.4,23.4
20.10.2022,2022-10-20 20:13:17.100,2022-10-20 20:13:22.000,4.9,7424,"{'conditions': 'Partially cloudy', 'temp': 9.5, 'precip': 0.0, 'dew': 6.1, 'humidity': 79.4, 'windspeed': 4.2, 'visibility': 38.4}",48.157747,17.165585,43.8,43.8
25.10.2022,2022-10-25 15:17:37.100,2022-10-25 15:17:52.000,14.9,7412,"{'conditions': 'Partially cloudy', 'temp': 18.9, 'precip': 0.0, 'dew': 11.0, 'humidity': 60.26, 'windspeed': 10.7, 'visibility': 68.5}",48.162782,17.132597,21.1,21.1
20.10.2022,2022-10-20 14:49:37.700,2022-10-20 14:49:48.200,10.5,7426,"{'conditions': 'Partially cloudy', 'temp': 14.6, 'precip': 0.0, 'dew': 5.2, 'humidity': 53.02, 'windspeed': 11.1, 'visibility': 49.2}",48.170782,17.140242,26.3,26.3
20.10.2022,2022-10-20 15:11:02.500,2022-10-20 15:11:21.900,19.4,7402,"{'conditions': 'Partially cloudy', 'temp': 14.6, 'precip': 0.0, 'dew': 5.2, 'humidity': 53.02, 'windspeed': 11.1, 'visibility': 49.2}",48.174563,17.143923,43.4,43.4
11.10.2022,2022-10-11 14:40:32.900,2022-10-11 14:40:42.500,9.6,7529,"{'conditions': 'Partially cloudy', 'temp': 19.6, 'precip': 0.0, 'dew': 10.2, 'humidity': 54.33, 'windspeed': 7.0, 'visibility': 48.9}",48.147365,17.115482,29.1,29.1
24.10.2022,2022-10-24 11:29:19.300,2022-10-24 11:29:41.800,22.5,7508,"{'conditions': 'Overcast', 'temp': 13.4, 'precip': 0.0, 'dew': 13.4, 'humidity': 99.77, 'windspeed': 7.2, 'visibility': 0.2}",48.139637,17.117363,49.9,49.9
18.10.2022,2022-10-18 15:44:53.000,2022-10-18 15:45:08.000,15.0,7505,"{'conditions': 'Clear', 'temp': 21.0, 'precip': 0.0, 'dew': 8.4, 'humidity': 44.16, 'windspeed': 3.9, 'visibility': 38.4}",48.155102,17.119352,30.1,30.1
27.10.2022,2022-10-27 14:37:11.800,2022-10-27 14:37:22.500,10.7,7508,"{'conditions': 'Overcast', 'temp': 12.4, 'precip': 0.0, 'dew': 12.3, 'humidity': 99.59, 'windspeed': 3.6, 'visibility': 0.2}",48.155918,17.119583,22.9,22.9
20.10.2022,2022-10-20 16:57:42.500,2022-10-20 16:57:50.000,7.5,7507,"{'conditions': 'Partially cloudy', 'temp': 13.2, 'precip': 0.0, 'dew': 5.2, 'humidity': 58.26, 'windspeed': 11.1, 'visibility': 38.4}",48.140162,17.110185,27.6,27.6
