,date,start_time,end_time,duration,vehicle,weather
0,23.10.2022,2022-10-23 14:32:07.800,2022-10-23 14:32:29.300,0,7427,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.8, 'humidity': 99.73, 'windspeed': 7.7, 'visibility': 4.9}"
1,20.10.2022,2022-10-20 06:52:40.400,2022-10-20 06:52:45.000,0,7528,"{'conditions': 'Clear', 'temp': 6.4, 'precip': 0.0, 'dew': 2.3, 'humidity': 75.25, 'windspeed': 3.8, 'visibility': 39.5}"
2,05.10.2022,2022-10-05 14:20:46.100,2022-10-05 14:21:03.000,0,7401,"{'conditions': 'Partially cloudy', 'temp': 17.7, 'precip': 0.0, 'dew': 9.7, 'humidity': 59.19, 'windspeed': 11.1, 'visibility': 45.2}"
3,18.10.2022,2022-10-18 21:11:13.100,2022-10-18 21:11:46.300,0,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}"
4,18.10.2022,2022-10-18 21:12:24.200,2022-10-18 21:13:02.500,0,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}"
5,18.10.2022,2022-10-18 21:24:16.000,2022-10-18 21:24:24.700,0,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}"
6,28.10.2022,2022-10-28 10:37:24.000,2022-10-28 10:37:32.400,0,7409,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}"
7,10.10.2022,2022-10-10 18:43:42.200,2022-10-10 18:44:02.000,0,7528,"{'conditions': 'Partially cloudy', 'temp': 14.5, 'precip': 0.0, 'dew': 5.8, 'humidity': 55.69, 'windspeed': 7.5, 'visibility': 38.0}"
8,18.10.2022,2022-10-18 22:25:24.600,2022-10-18 22:25:36.300,0,7416,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 10.6, 'humidity': 71.98, 'windspeed': 3.6, 'visibility': 33.0}"
9,28.10.2022,2022-10-28 11:07:29.000,2022-10-28 11:07:45.900,0,7424,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}"
10,11.10.2022,2022-10-11 18:53:05.600,2022-10-11 18:53:24.000,0,7508,"{'conditions': 'Partially cloudy', 'temp': 15.2, 'precip': 0.0, 'dew': 9.7, 'humidity': 69.74, 'windspeed': 10.5, 'visibility': 33.8}"
11,24.10.2022,2022-10-24 11:30:54.300,2022-10-24 11:31:04.100,0,7516,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 14.6, 'humidity': 99.36, 'windspeed': 7.0, 'visibility': 1.3}"
12,21.10.2022,2022-10-21 12:03:09.800,2022-10-21 12:03:14.000,0,7506,"{'conditions': 'Partially cloudy', 'temp': 9.2, 'precip': 0.0, 'dew': 2.4, 'humidity': 62.56, 'windspeed': 15.1, 'visibility': 54.2}"
13,07.10.2022,2022-10-07 10:51:07.000,2022-10-07 10:51:27.000,0,7421,"{'conditions': 'Clear', 'temp': 16.1, 'precip': 0.0, 'dew': 11.9, 'humidity': 76.45, 'windspeed': 11.1, 'visibility': 15.0}"
14,03.10.2022,2022-10-03 09:34:01.100,2022-10-03 09:34:07.000,0,7409,"{'conditions': 'Partially cloudy', 'temp': 12.6, 'precip': 0.0, 'dew': 7.6, 'humidity': 71.29, 'windspeed': 14.6, 'visibility': 45.2}"
15,19.10.2022,2022-10-19 17:03:25.100,2022-10-19 17:03:42.000,0,7422,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 6.7, 'humidity': 58.59, 'windspeed': 11.7, 'visibility': 38.4}"
16,20.10.2022,2022-10-20 08:14:55.400,2022-10-20 08:15:13.000,0,7510,"{'conditions': 'Clear', 'temp': 6.5, 'precip': 0.0, 'dew': 2.3, 'humidity': 74.19, 'windspeed': 3.6, 'visibility': 53.5}"
17,11.10.2022,2022-10-11 10:38:55.700,2022-10-11 10:39:07.300,0,7421,"{'conditions': 'Partially cloudy', 'temp': 15.8, 'precip': 0.0, 'dew': 7.7, 'humidity': 58.55, 'windspeed': 3.6, 'visibility': 49.2}"
18,27.10.2022,2022-10-27 15:04:49.900,2022-10-27 15:05:03.000,0,7514,"{'conditions': 'Overcast', 'temp': 12.4, 'precip': 0.0, 'dew': 12.3, 'humidity': 99.59, 'windspeed': 3.6, 'visibility': 0.2}"
19,13.10.2022,2022-10-13 15:38:34.000,2022-10-13 15:38:47.300,0,7416,"{'conditions': 'Partially cloudy', 'temp': 17.1, 'precip': 0.0, 'dew': 11.4, 'humidity': 68.81, 'windspeed': 3.8, 'visibility': 14.5}"
20,09.10.2022,2022-10-09 14:22:27.500,2022-10-09 14:22:37.200,0,7401,"{'conditions': 'Partially cloudy', 'temp': 16.8, 'precip': 0.0, 'dew': 5.8, 'humidity': 47.99, 'windspeed': 10.5, 'visibility': 47.7}"
21,10.10.2022,2022-10-10 15:09:00.500,2022-10-10 15:09:18.700,0,7422,"{'conditions': 'Partially cloudy', 'temp': 16.6, 'precip': 0.0, 'dew': 6.9, 'humidity': 52.64, 'windspeed': 8.1, 'visibility': 54.5}"
22,18.10.2022,2022-10-18 16:33:21.900,2022-10-18 16:33:39.600,0,7418,"{'conditions': 'Clear', 'temp': 20.4, 'precip': 0.0, 'dew': 9.3, 'humidity': 49.12, 'windspeed': 3.8, 'visibility': 38.4}"
23,18.10.2022,2022-10-18 19:32:13.800,2022-10-18 19:32:32.700,0,7418,"{'conditions': 'Partially cloudy', 'temp': 15.9, 'precip': 0.0, 'dew': 9.9, 'humidity': 67.37, 'windspeed': 3.6, 'visibility': 33.0}"
24,27.10.2022,2022-10-27 22:57:28.700,2022-10-27 22:57:38.200,0,7518,"{'conditions': 'Partially cloudy', 'temp': 9.9, 'precip': 0.0, 'dew': 9.9, 'humidity': 99.99, 'windspeed': 7.4, 'visibility': 0.0}"
25,19.10.2022,2022-10-19 17:06:03.700,2022-10-19 17:06:19.000,0,7518,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 6.7, 'humidity': 58.59, 'windspeed': 11.7, 'visibility': 38.4}"
26,18.10.2022,2022-10-18 10:33:37.700,2022-10-18 10:33:50.000,0,7406,"{'conditions': 'Clear', 'temp': 15.2, 'precip': 0.0, 'dew': 9.0, 'humidity': 66.54, 'windspeed': 7.3, 'visibility': 20.3}"
27,09.10.2022,2022-10-09 15:01:40.400,2022-10-09 15:01:52.200,0,7525,"{'conditions': 'Partially cloudy', 'temp': 17.1, 'precip': 0.0, 'dew': 5.8, 'humidity': 47.36, 'windspeed': 7.0, 'visibility': 56.9}"
28,01.10.2022,2022-10-01 12:40:31.000,2022-10-01 12:40:41.000,0,7525,"{'conditions': 'Overcast', 'temp': 13.8, 'precip': 0.0, 'dew': 11.8, 'humidity': 88.23, 'windspeed': 3.6, 'visibility': 23.8}"
29,16.10.2022,2022-10-16 17:23:09.500,2022-10-16 17:23:28.500,0,7506,"{'conditions': 'Partially cloudy', 'temp': 20.2, 'precip': 0.0, 'dew': 12.6, 'humidity': 61.84, 'windspeed': 11.0, 'visibility': 19.2}"
30,18.10.2022,2022-10-18 13:29:06.600,2022-10-18 13:29:30.900,0,7412,"{'conditions': 'Clear', 'temp': 18.7, 'precip': 0.0, 'dew': 7.2, 'humidity': 47.13, 'windspeed': 7.2, 'visibility': 34.3}"
31,22.10.2022,2022-10-22 18:25:04.500,2022-10-22 18:25:15.700,0,7416,"{'conditions': 'Partially cloudy', 'temp': 10.4, 'precip': 0.0, 'dew': 10.3, 'humidity': 99.56, 'windspeed': 3.8, 'visibility': 14.3}"
32,06.10.2022,2022-10-06 16:30:57.900,2022-10-06 16:31:15.600,0,7513,"{'conditions': 'Partially cloudy', 'temp': 21.4, 'precip': 0.0, 'dew': 12.7, 'humidity': 57.64, 'windspeed': 4.1, 'visibility': 47.7}"
33,10.10.2022,2022-10-10 10:19:59.800,2022-10-10 10:20:13.300,0,7519,"{'conditions': 'Partially cloudy', 'temp': 9.6, 'precip': 0.0, 'dew': 5.2, 'humidity': 74.11, 'windspeed': 7.6, 'visibility': 68.2}"
34,19.10.2022,2022-10-19 08:52:23.900,2022-10-19 08:52:36.600,0,7508,"{'conditions': 'Partially cloudy', 'temp': 12.2, 'precip': 0.0, 'dew': 10.9, 'humidity': 91.29, 'windspeed': 4.5, 'visibility': 30.2}"
35,22.10.2022,2022-10-22 12:40:04.200,2022-10-22 12:40:12.600,0,7519,"{'conditions': 'Rain, Overcast', 'temp': 11.1, 'precip': 0.001, 'dew': 9.0, 'humidity': 87.12, 'windspeed': 0.3, 'visibility': 18.9}"
36,11.10.2022,2022-10-11 18:04:50.200,2022-10-11 18:04:57.000,0,7518,"{'conditions': 'Partially cloudy', 'temp': 15.9, 'precip': 0.0, 'dew': 9.7, 'humidity': 66.59, 'windspeed': 10.7, 'visibility': 33.8}"
37,17.10.2022,2022-10-17 17:30:39.300,2022-10-17 17:30:56.400,0,7514,"{'conditions': 'Partially cloudy', 'temp': 19.1, 'precip': 0.0, 'dew': 9.6, 'humidity': 54.26, 'windspeed': 7.5, 'visibility': 38.4}"
38,11.10.2022,2022-10-11 07:54:50.800,2022-10-11 07:54:57.700,0,7402,"{'conditions': 'Rain, Partially cloudy', 'temp': 10.6, 'precip': 0.099, 'dew': 6.5, 'humidity': 75.51, 'windspeed': 3.6, 'visibility': 34.6}"
39,11.10.2022,2022-10-11 13:54:37.000,2022-10-11 13:54:44.400,0,7402,"{'conditions': 'Partially cloudy', 'temp': 17.7, 'precip': 0.0, 'dew': 9.8, 'humidity': 59.9, 'windspeed': 3.6, 'visibility': 49.2}"
40,20.10.2022,2022-10-20 20:13:17.100,2022-10-20 20:13:22.000,0,7424,"{'conditions': 'Partially cloudy', 'temp': 9.5, 'precip': 0.0, 'dew': 6.1, 'humidity': 79.4, 'windspeed': 4.2, 'visibility': 38.4}"
41,25.10.2022,2022-10-25 15:17:37.100,2022-10-25 15:17:52.000,0,7412,"{'conditions': 'Partially cloudy', 'temp': 18.9, 'precip': 0.0, 'dew': 11.0, 'humidity': 60.26, 'windspeed': 10.7, 'visibility': 68.5}"
42,20.10.2022,2022-10-20 14:49:37.700,2022-10-20 14:49:48.200,0,7426,"{'conditions': 'Partially cloudy', 'temp': 14.6, 'precip': 0.0, 'dew': 5.2, 'humidity': 53.02, 'windspeed': 11.1, 'visibility': 49.2}"
43,20.10.2022,2022-10-20 15:11:02.500,2022-10-20 15:11:21.900,0,7402,"{'conditions': 'Partially cloudy', 'temp': 14.6, 'precip': 0.0, 'dew': 5.2, 'humidity': 53.02, 'windspeed': 11.1, 'visibility': 49.2}"
44,11.10.2022,2022-10-11 14:40:32.900,2022-10-11 14:40:42.500,0,7529,"{'conditions': 'Partially cloudy', 'temp': 19.6, 'precip': 0.0, 'dew': 10.2, 'humidity': 54.33, 'windspeed': 7.0, 'visibility': 48.9}"
45,24.10.2022,2022-10-24 11:29:19.300,2022-10-24 11:29:41.800,0,7508,"{'conditions': 'Overcast', 'temp': 13.4, 'precip': 0.0, 'dew': 13.4, 'humidity': 99.77, 'windspeed': 7.2, 'visibility': 0.2}"
46,18.10.2022,2022-10-18 15:44:53.000,2022-10-18 15:45:08.000,0,7505,"{'conditions': 'Clear', 'temp': 21.0, 'precip': 0.0, 'dew': 8.4, 'humidity': 44.16, 'windspeed': 3.9, 'visibility': 38.4}"
47,27.10.2022,2022-10-27 14:37:11.800,2022-10-27 14:37:22.500,0,7508,"{'conditions': 'Overcast', 'temp': 12.4, 'precip': 0.0, 'dew': 12.3, 'humidity': 99.59, 'windspeed': 3.6, 'visibility': 0.2}"
48,20.10.2022,2022-10-20 16:57:42.500,2022-10-20 16:57:50.000,0,7507,"{'conditions': 'Partially cloudy', 'temp': 13.2, 'precip': 0.0, 'dew': 5.2, 'humidity': 58.26, 'windspeed': 11.1, 'visibility': 38.4}"
